user_id,sum,sec,sessions_completed,gender,experience_level,estimate_birth_day,focus,start_date
903,665000,665,266,f,"{""mindfulness"":""low""}",1986-05-05 15:53:13.797+00,mindfulness,
907,15000,15,33,f,"{""mindfulness"":""low""}",1974-05-05 16:45:17.488+00,mindfulness,
908,2895000,2895,9843,m,"{""mindfulness"":""medium""}",1965-05-05 18:58:33.503+00,mindfulness,2015-05-05 20:44:19.174+00
909,1950000,1950,1560,f,"{""mindfulness"":""none""}",1960-05-05 19:16:32.838+00,mindfulness,
912,395000,395,79,m,"{""mindfulness"":""medium""}",1964-05-05 19:42:06.069+00,mindfulness,
913,5000,5,1,f,"{""mindfulness"":""low""}",1993-05-05 19:46:33.949+00,mindfulness,
914,30000,30,114,f,"{""mindfulness"":""medium""}",1978-05-05 19:47:43.019+00,mindfulness,
921,1290000,1290,774,m,"{""mindfulness"":""medium""}",1970-05-05 23:23:59.222+00,mindfulness,
923,395000,395,158,m,"{""mindfulness"":""high""}",1976-05-06 00:12:00.428+00,mindfulness,
924,1390000,1390,5880,f,"{""mindfulness"":""medium""}",1972-05-06 00:34:13.965+00,mindfulness,
929,1265000,1265,1265,f,"{""mindfulness"":""medium""}",1959-05-06 01:01:15.532+00,mindfulness,
932,635000,635,254,f,"{""mindfulness"":""medium""}",1980-05-06 02:28:48.381+00,mindfulness,
933,1225000,1225,1960,m,"{""mindfulness"":""high""}",1968-05-06 03:05:38.098+00,mindfulness,
934,105000,105,21,f,"{""mindfulness"":""medium""}",1989-05-06 03:25:36.281+00,mindfulness,
935,1850000,1850,370,f,"{""yoga"":""medium""}",1962-05-06 04:16:46.44+00,yoga,
936,5000,5,1,f,"{""mindfulness"":""medium""}",1985-05-06 04:23:06.38+00,mindfulness,
938,20000,20,12,m,"{""mindfulness"":""medium""}",1956-05-06 05:44:15.298+00,mindfulness,
939,25000,25,5,f,"{""mindfulness"":""medium""}",1970-05-06 05:48:35.424+00,mindfulness,
943,7715000,7715,32403,f,"{""mindfulness"":""medium""}",1968-05-06 07:43:40.71+00,mindfulness,
