ID,subscribedYN,sec,sessions_completed,series_completed,experience,focus_n,gender_n,dob_given
588,0,695,2,0,2,0,0,1
589,0,5680,12,0,1,0,1,1
590,0,65,1,0,3,1,1,1
591,1,11910,7,2,4,1,0,1
592,0,120,1,0,3,0,1,1
593,0,855,1,0,3,0,1,1
594,0,210,1,0,1,0,0,1
595,0,25,1,0,1,0,0,1
596,0,355,1,0,1,0,1,1
597,0,395,2,0,2,0,0,1
598,0,115,1,0,2,0,0,1
599,0,1300,3,0,3,0,0,1
600,0,15,1,0,1,0,0,1
601,0,225,1,0,3,0,1,1
602,0,375,4,0,4,1,0,1
603,0,735,5,0,3,0,1,1
604,0,535,6,0,4,0,1,1
605,0,400,2,0,3,1,0,1
606,0,4775,6,0,1,0,1,1
607,0,230,5,0,3,1,0,1
608,0,1430,5,0,3,0,0,1
609,0,700,2,0,3,0,0,1
610,0,1130,2,0,2,0,0,1
611,0,125,1,0,3,0,1,1
612,0,1205,4,0,2,0,0,1
613,0,125,1,0,2,0,0,1
614,0,55,1,0,1,0,1,1
615,0,45,1,0,1,0,1,1
616,0,1215,3,0,2,0,0,1
617,0,4360,9,2,3,0,0,1
618,1,1665,1,0,4,1,0,1
619,0,215,1,0,2,0,0,1
620,0,115,1,0,3,0,1,1
621,0,210,3,0,1,0,0,1
622,0,340,1,0,2,0,1,1
623,0,210,1,0,1,0,0,1
624,0,145,1,0,4,0,1,1
625,0,1455,6,0,1,0,0,1
626,0,220,1,0,3,0,0,1
627,0,1395,4,0,2,0,1,1
628,0,665,2,0,2,0,0,1
629,0,20,2,0,1,0,0,1
630,0,715,3,0,2,0,1,1
631,0,40,1,0,2,0,0,1
632,0,690,2,0,3,0,0,1
633,0,1400,5,0,3,0,1,1
634,0,90,1,0,2,0,1,1
635,0,2195,6,0,2,0,1,1
636,0,680,2,0,3,0,0,1
637,1,6015,14,1,3,0,1,1
638,0,530,2,0,3,0,1,1
639,0,770,3,0,2,0,0,1
640,0,45,1,0,1,0,1,1
641,1,2955,5,0,3,0,1,1
642,0,2530,7,0,2,0,1,1
643,0,265,2,0,1,0,0,1
644,0,475,4,0,3,0,0,1
645,0,110,1,0,2,1,0,1
646,0,580,2,0,2,0,0,1
647,0,660,2,0,4,0,0,1
648,0,1405,3,0,1,0,1,1
649,0,955,2,0,3,0,1,1
650,0,2500,8,0,1,0,1,1
651,0,250,2,0,2,0,0,1
652,0,705,2,0,1,0,1,1
653,0,370,2,0,1,0,1,1
654,0,965,2,0,2,0,0,1
655,0,430,2,0,4,0,1,1
656,0,915,5,0,1,0,1,1
657,0,2295,4,0,1,0,0,1
658,0,705,2,0,1,0,0,1
659,0,155,1,0,3,0,0,1
660,0,1050,2,0,1,0,1,1
661,0,1960,6,0,1,0,0,1
662,0,695,2,0,2,0,0,1
663,0,1880,4,0,2,0,0,1
664,1,1875,4,0,2,0,0,1
665,0,420,1,0,1,0,1,1
666,0,1695,6,0,2,0,0,1
667,0,1790,5,0,3,1,0,1
668,0,185,1,0,3,0,1,1
669,0,850,11,0,3,0,1,1
670,1,6000,12,0,3,0,0,1
671,0,15,1,0,3,0,0,1
672,0,650,2,0,1,0,0,1
673,0,1475,13,0,1,0,0,1
674,1,1030,1,0,3,1,0,1
675,0,12085,23,6,1,0,1,1
676,0,225,1,0,1,0,0,1
677,0,80,1,0,1,0,0,1
678,0,260,1,0,1,0,1,1
679,0,665,2,0,2,0,0,1
680,0,3200,7,0,1,0,1,1
681,0,15,1,0,3,0,0,1
682,0,210,1,0,2,0,0,1
683,0,450,2,0,2,0,0,1
684,0,580,2,0,1,0,0,1
685,0,1230,5,0,2,0,1,1
686,0,240,1,0,1,0,0,1
687,0,165,1,0,3,0,0,1
688,0,430,1,0,2,0,0,1
689,0,695,2,0,1,0,0,1
690,0,15,1,0,1,0,0,1
691,0,655,2,0,3,1,0,1
692,0,2055,6,0,1,0,1,1
693,0,440,2,0,2,0,0,1
694,0,805,3,0,2,0,0,1
695,0,1330,2,0,3,0,0,1
696,0,705,2,0,1,0,1,1
697,0,5025,8,0,2,0,0,1
698,0,705,2,0,2,0,1,1
699,0,7615,15,7,1,0,1,1
700,0,4070,8,0,3,0,0,1
701,0,1200,3,0,3,0,1,1
702,1,8580,15,0,3,0,0,1
703,0,4620,11,0,3,0,0,1
704,0,850,7,0,3,0,0,1
705,0,1265,3,0,3,0,0,1
706,0,660,2,0,3,0,1,1
707,0,65,1,0,3,0,0,1
708,0,65,1,0,3,0,1,1
709,0,65,1,0,3,0,0,1
710,1,15060,29,0,3,0,0,1
711,0,125,1,0,3,0,0,1
712,0,860,7,0,3,0,0,1
713,1,1290,5,0,4,0,0,1
714,0,4310,7,0,1,0,1,1
715,1,5490,7,0,2,0,0,1
716,0,160,1,0,3,0,0,1
717,0,85,1,0,3,0,1,1
718,0,1305,3,0,3,0,1,1
719,1,375,1,0,4,1,0,1
720,1,6935,16,0,4,0,1,1
721,0,215,2,0,1,0,1,1
722,0,2820,5,0,2,0,0,1
723,1,335,1,0,3,0,0,1
724,0,115,2,0,2,0,0,1
725,1,3645,4,0,4,0,0,1
726,0,1175,4,0,3,0,0,1
727,1,11205,17,0,3,0,1,1
728,0,115,2,0,3,0,0,1
