user_id,sec,sessions_completed,series_completed,gender,experience_level,estimate_birth_day,focus,subscribed
1315,40,1,0,f,low,1979-05-15 20:17:31.865+00,mindfulness,
1318,1985,5,0,f,low,1982-05-15 20:29:57.596+00,mindfulness,
1328,40,1,0,f,low,1966-05-16 00:15:17.825+00,mindfulness,
1330,13085,4,0,f,high,1981-05-16 01:51:21.852+00,yoga,1
1335,65,1,0,m,medium,1971-05-16 11:50:44.83+00,mindfulness,
1337,40,1,0,m,low,1966-05-16 12:36:41.021+00,mindfulness,
1338,60,1,0,f,low,1958-05-16 12:53:41.649+00,mindfulness,
1339,65,1,0,m,none,1952-05-16 20:06:02.361+00,mindfulness,
1341,40,1,0,f,low,1975-05-16 15:29:07.294+00,mindfulness,
1342,1315,3,0,f,none,1970-05-16 16:00:12.604+00,mindfulness,
1344,45,1,0,f,medium,1969-05-16 16:39:40.183+00,mindfulness,
1346,705,2,0,m,none,1969-05-16 17:31:43.165+00,mindfulness,
1347,700,2,0,f,low,1950-05-16 18:59:55.78+00,mindfulness,
1356,1440,1,0,f,high,1975-05-17 13:21:41.555+00,yoga,1
1357,725,2,0,m,none,1992-05-17 13:44:46.74+00,mindfulness,
1361,685,3,0,f,none,1985-05-17 15:18:15.93+00,mindfulness,
1362,40,1,0,f,low,1953-05-17 16:02:23.121+00,mindfulness,
1363,1340,2,0,m,medium,1990-05-17 16:08:29.236+00,yoga,
1364,1405,6,0,f,none,1962-05-17 16:14:17.624+00,mindfulness,
1366,570,1,0,f,high,1985-05-17 17:35:22.829+00,yoga,
1368,40,1,0,m,none,1981-05-17 19:11:54.913+00,mindfulness,
1370,65,1,0,f,medium,1956-05-18 00:33:51.737+00,yoga,
1372,65,1,0,f,none,1985-05-18 01:40:04.627+00,mindfulness,
1373,2560,6,0,f,high,1984-05-18 01:53:08.205+00,mindfulness,
1376,1345,4,0,m,none,1992-05-18 08:15:30.46+00,mindfulness,
1379,40,1,0,f,high,1992-05-18 14:06:26.013+00,mindfulness,1
1384,40,1,0,m,none,1969-05-18 17:20:46.892+00,mindfulness,
1391,885,4,0,f,low,1972-05-18 19:36:41.765+00,mindfulness,
1395,70,1,0,f,high,1985-05-18 21:19:10.293+00,mindfulness,
1398,1675,10,0,f,low,1985-05-18 22:32:59.193+00,mindfulness,
1399,70,1,0,f,none,1966-05-18 22:50:30.05+00,mindfulness,
1401,655,2,0,f,medium,1964-05-18 23:08:57.846+00,mindfulness,
1402,965,2,0,f,low,1965-05-18 23:35:03.11+00,yoga,
1403,25,1,0,f,low,1971-05-18 23:35:44.78+00,mindfulness,
1404,2330,7,0,f,low,1970-12-29 20:10:51.819+00,mindfulness,
1406,35,1,0,f,low,1960-05-19 00:09:00.223+00,mindfulness,
1407,130,1,0,f,low,1970-05-19 00:14:26.355+00,mindfulness,
1411,75,1,0,f,high,1975-05-19 01:06:06.052+00,mindfulness,
1416,65,1,0,f,high,1989-05-19 02:16:21.273+00,mindfulness,
1417,420,1,0,f,medium,1980-05-19 02:45:00.404+00,mindfulness,
1418,3290,2,0,f,medium,1950-05-19 03:30:58.116+00,yoga,
1421,335,2,0,f,medium,1980-05-19 04:24:59.74+00,mindfulness,
1422,65,1,0,f,medium,1962-05-19 04:30:27.868+00,yoga,
1426,405,1,0,f,high,1953-05-19 04:57:11.33+00,yoga,
1428,1980,4,0,f,none,1968-05-19 05:29:23.281+00,mindfulness,
1429,40,1,0,f,none,1993-05-19 05:30:09.111+00,mindfulness,
1434,135,4,0,m,low,1983-05-19 06:29:27.698+00,mindfulness,
